RABDN,RPRU,RWTB,RFTSE,covidr
-0.00907537,-0.012546924,0.006753416,-0.00646445,0
-0.037455337,-0.043256387,-0.026601793,-0.032305661,0
-0.012074924,-0.013271881,-0.01639783,-0.006303931,0
0.006305606,0.021087097,0.010631363,0.010983887,0
-0.003347639,-0.002851255,-0.007888943,0.005939587,0
-0.006631642,-0.008213004,-0.039034718,-0.007603628,0
-0.008583319,0.002883087,0.002003218,0.003268866,0
0.023699169,0.034112484,0.01051275,0.002771227,0
0.050273364,0.04757121,0.03887977,0.00844934,0
-0.019561593,-0.02718209,-0.005959206,-0.00464049,0
0.031400365,0.005795673,0.026137447,-0.00025092,0
-0.01351297,-0.011178141,-0.00467159,-0.006058261,0
0.001426882,0.026377176,0.003757017,0.002004757,0
-0.006676437,0.00533633,-0.012164602,-0.004420577,0
0.017991803,0.062213794,-0.004736308,0.001827826,0
0.008977817,0.027449054,-0.018558111,0.006819159,0
0.027811029,0.023870405,0.013332158,0.006689784,0
-0.001669319,-0.008351798,-0.017461881,0.00929795,0
-0.004005289,-0.023861479,-0.001219662,-0.000515812,0
0.016749307,0,0.022915892,0.00092976,0
0.008255894,-0.007908376,0.00452915,-0.003412774,0
0.002627871,-0.00977714,-0.048399262,0.003356026,0
-0.008812581,-0.01317789,0.012465159,-0.011240277,0
0.005940063,0.007044144,0.015515274,0.007455459,0
0.012114747,0.018412509,0.01236538,0.009212015,0
0.010351188,0.011565412,0.00167747,0.002495356,0
-0.014752999,-0.006074354,0.005021179,0.001159977,0
0.017582999,0.006831375,0.028463771,0.001319516,0
-0.007989298,-0.022857621,-0.010491807,-0.006349905,0
0.0006368,-0.021562965,0.018614308,-0.00419057,0
0.009995133,0.007470702,-0.005320424,0.005035109,0
-0.017234989,-0.022988233,-0.009536493,-0.001931996,0
0.002602301,-0.007209887,-0.017608636,-0.007951072,0
0.00710954,0.002678564,0.048278375,0.001395905,0
-0.002876032,-0.007242846,0.019152838,0.000651792,0
0.013185496,0.012669306,-0.007382274,0.002203156,0
-0.020666962,-0.019335611,-0.008114,-0.008371337,0
0.000679527,-0.010443176,0.002954245,-0.00329639,0
0.010035085,0.020707277,0.0135938,0.01219305,0
0.009972734,0.021445054,0.014527593,0.009482981,0
0.02385355,0.006745484,0.010355014,0.00092614,0
0.000903016,0.031273292,0.01003061,0.003598473,0
0,0.010825939,0.014248164,-0.001796823,0
-0.016744857,-0.016780004,-0.020648339,-0.00942502,0
-0.021764663,-0.019255764,-0.007389661,-0.008247431,0
-0.019359922,-0.036664537,-0.029778699,-0.017455538,0
-0.000344339,0.009228401,0.017828763,0.004154351,0
0.00822872,-0.007237323,-0.000663287,-0.007045976,0
0.01013552,0.012275454,0.020412854,0.014263399,0
0.00259301,-0.002656225,0.006522218,-0.000795617,0
-0.01548034,0.001521885,-0.002376235,-0.002784114,0
0.000989873,0.000759786,-0.00216513,0.000345174,0
0.014034687,0.038299694,0.002604298,0.007929326,0
0.015828364,0.013885108,0.073809254,0.010994752,0
0.034265037,0.039258861,0.03849971,0.022521432,0
-0.004605334,0.002081841,-0.042508246,0.000828562,0
0.007101356,0.001385011,-0.012161253,0.002055737,0
0.008867521,-0.004833477,0.003898235,0.004385505,0
0.005471425,0.001729874,-0.012470169,0.001143412,0
0.003335206,-0.009003424,0.006004212,0.005421709,0
0.013541412,0.008035209,0.007817327,0,0
-0.004177311,-0.000687042,-0.001019492,0.002795271,0
-0.002981453,0.003814593,-0.002861771,-0.007567136,0
-0.019124448,0.002076797,-0.00676343,0,0
0.024070332,0.010347767,0.010318713,0.002273611,0
-0.017238992,-0.00989991,-0.006333402,0.002380232,0
-0.014864389,-0.013797157,-0.012948515,-0.006173908,0
-0.033502574,0.008738276,-0.001459214,-0.000196691,0
-0.008582738,0.013182187,-0.012096158,0.000142596,0
0.015411023,0.010947921,-0.003376203,0.003061414,0
-0.014846391,0.002033209,-0.01525178,-0.00135165,0
0.000634139,-0.005741875,0.013121986,0.003920742,0
0.000298229,-0.011897439,0.014649806,0.000623556,0
-0.009913167,-0.036795887,0.012136638,0.0026829,0
0.009711296,0.004288549,-0.051684723,-0.004316481,0
0.01248835,0.007109489,-0.023109521,0.008508754,0
-0.006332842,-0.001060023,0.005132827,-0.003012551,0
0.006373203,-0.007420508,-0.016653357,-0.005324488,0
0.012997054,0.005337822,0.004743696,-0.005095458,0
-0.02562425,-0.009555557,-0.021349167,-0.008485298,0
0.006714414,0.013584515,-0.012168981,0.010430666,0
-0.041425819,-0.050439486,-0.014645761,-0.022927822,0
0.013297256,0.022287098,0.02618471,0.009260596,0
0.011825742,0.011624217,0.027817766,0.000384991,0
-0.009086111,-0.016884061,0.018340909,-0.013577744,0
-0.013735114,-0.012053724,-0.018230438,-0.012997903,0
0.011611758,0.011830591,0.007158332,0.005531148,0
0.014109751,0.02083901,0.010662475,0.015493475,0
0.005490167,0.02219799,0.001757478,0.00573401,0
0.000299188,0.017157905,0.008118226,0.002981632,0
0.019291883,0.006204666,0.005223334,-0.005075425,0
0.010086931,0.001705602,-0.002814814,-0.002654452,0
0.012818651,0.011278551,0.012809821,0.007057989,0
0.015703991,0.017563805,0.019721494,0.004657681,0
-0.027921917,-0.015931269,0.013242473,-0.010928585,0
0.016558937,-0.003714961,-0.011202689,-0.005756821,0
-0.008894763,0.011510999,-0.009651784,0.003255443,0
-0.000612723,-0.010039502,0.012500432,-0.006893351,0
0.023874784,0.011833936,0.001463801,0.010161189,0
-0.015146178,0.002676519,-0.011282273,-0.002732995,0
-0.006759657,-0.007333679,0.007819706,-0.004399836,0
-0.048323791,-0.046007838,-0.066680335,-0.033372862,0
-0.02535094,0.000352348,-0.021344366,-0.01941502,0
0.005978493,0.001056671,-0.030074766,0.003503907,0
-0.054721568,-0.06678445,-0.035737605,-0.034940866,0
-0.029842825,-0.045572687,-0.044184831,-0.031750633,0
-0.002524827,0.002370206,-0.034668293,0.011287707,0
0.015229497,-0.005517403,0.002393604,0.009513305,0
0.020735508,0.020193759,-0.039278135,0.014496442,0
-0.030451067,-0.020562663,0.00248873,-0.016162944,0
-0.046229426,-0.054283255,-0.035272118,-0.036221391,0
-0.093858684,-0.086718715,-0.067408296,-0.076870585,0
0.021279697,0.006877955,-0.021439979,-0.000928631,0
0,-0.032340384,-0.042566214,-0.01404476,0
-0.162789591,-0.166855516,-0.156586988,-0.108744631,0
0.027899312,-0.020352161,-0.000387992,0.024559521,0
-0.058982863,-0.124588432,-0.03877365,-0.040071858,1
0.053574576,0.032418778,-0.060508881,0.027920358,1
-0.116253136,-0.092679943,-0.088450197,-0.040476685,1
-0.037413249,0.06472201,-0.008481732,0.013980687,1
0.067313364,0.084568084,0.112118112,0.007603448,1
-0.081306804,-0.02997003,0.02221051,-0.037930716,1
0.157486631,0.154479918,0.124112302,0.090534633,1
0.117636868,0.116732509,0.118587303,0.04447109,1
0.146178887,0.078594919,0.079428262,0.022420098,1
-0.094941845,-0.048437515,-0.084667954,-0.052512754,1
-0.045825862,-0.028109933,-0.001679606,0.009692704,1
0.004907079,0.032916632,0.020887257,0.019450945,1
-0.064311688,-0.084114502,-0.099337723,-0.038327139,1
-0.012547191,-0.006112375,-0.007698706,0.004702479,1
0.000787136,-0.023770283,-0.08751773,-0.011809745,1
0.079325843,0.109542478,0.039662912,0.030817099,1
0.062408911,0.060239364,0.033084287,0.021865187,1
-0.03071873,-0.036031784,0.090807022,-0.004684062,1
0.073695916,0.00335718,0.023834414,0.029048581,1
-0.036060635,-0.031517626,-0.068150045,-0.008788805,1
-0.076186755,-0.05503059,-0.047068987,-0.033439757,1
0.017075492,0.005212017,-0.021276219,0.005498736,1
0.041738136,0.081812474,0.048136099,0.028165936,1
-0.005039417,-0.011997198,0.003703177,0.004470396,1
-0.057870719,-0.048662663,-0.00811779,-0.029555311,1
0.029488476,0.046563618,0.046130463,0.022974528,1
-0.012874205,0.019509714,-0.006399404,0.009700847,1
-0.011627907,-0.018657461,-0.051183349,-0.01276557,1
0.042077371,0.013654202,0.049795173,0.016438842,1
0.046430024,0.070701397,0.060005688,0.01910621,1
0.07488944,0.056599532,0.045422801,0.026306956,1
-0.077583868,-0.04038407,-0.033719188,-0.035001022,1
-0.013135967,-0.058048542,-0.020807049,-0.023410453,1
-0.033426045,-0.017870804,-0.016107415,-0.001610256,1
0.029392118,0.034005113,-0.009401834,0.016622116,1
-0.02301203,0.014362016,-0.017934393,0.000741954,1
0.034845698,0.025565585,0.023271224,0.014045673,1
-0.02182285,-0.001782581,-0.006996909,0.000631741,1
0.039117706,0.007589497,-0.057436049,0.009266414,1
-0.036333609,-0.034089336,-0.045606249,-0.015133191,1
-0.020918393,-0.053163226,0.00196048,-0.027525173,1
-0.003346376,0.015977472,0.042609345,0.010141878,1
0.056252906,0.057639579,0.092236654,0.042901701,1
0.052816901,0.009458774,0.010644844,-0.007664596,1
-0.005574136,0.007592887,-0.034306477,0.010817646,1
-0.005605381,-0.012845731,-0.134366978,-0.008555898,1
0.008220594,-0.092867701,0.055668543,-0.003652384,1
0.069654755,0.02867986,0.09811828,0.012427252,1
0.070737869,0.022596944,0.042431661,0.01260597,1
-0.007891953,0.017872199,0.003131115,0.012131668,1
-0.022675086,-0.032795569,-0.013655872,-0.022864577,1
-0.011621565,0.040589524,-0.01068038,0.014781292,1
0.032133458,0.008258689,-0.011195522,0.0087117,1
0.032243471,0.078749798,0.071977355,0.026087837,1
-0.019124268,-0.011816358,-0.047529234,-0.006419205,1
0.050245745,0.088386919,0.087920792,0.022528006,1
0.003210087,-0.013342605,0.009828904,-0.0018059,1
-0.051582559,-0.036183038,-0.043619322,-0.021146095,1
-0.007154181,-0.009901501,-0.05729363,-0.001040134,1
-0.054779939,-0.056666725,-0.079168333,-0.039883839,1
0.003595097,0.008832848,0.026487191,0.004686754,1
0.003582218,-0.00612612,-0.021573604,-0.006630435,1
0.016298972,0.0506614,0.019887592,0.029365014,1
-0.016799255,-0.011742077,0.001695634,0.001675533,1
0.011534323,0.026726945,0.02962336,-0.004666373,1
0.004297324,-0.002059404,-0.027949034,0.01101048,1
-0.008600237,-0.018633326,-0.004651163,-0.007624829,1
0.063074228,0.024046245,0.007646559,0.012090407,1
-0.05523174,-0.029255342,-0.070826307,-0.031080106,1
0.037271838,0.014435672,-0.029038113,0.00382939,1
-0.011731408,-0.004606727,0.025700935,0.001978156,1
0.018387083,0.020598315,0.01594533,0.010791811,1
0.006398761,0.003710161,-0.003587444,-0.00899969,1
-0.011217754,-0.000821433,0.013951395,-0.001909319,1
0.030226081,0.009034623,0.042609854,0.013381055,1
-0.013198696,-0.019944326,0.016177097,-0.01331013,1
0.008540811,0.049005005,0.022203603,0.020892274,1
-0.009187505,-0.013067849,-0.055327869,-0.015278542,1
-0.016005483,0.00361343,-0.018655098,-0.005450815,1
-0.025730323,-0.014785058,-0.043324492,-0.017306243,1
0.021363388,0.008924644,0.04805915,0.00756907,1
-0.004570346,0.000796532,0.022486772,0.013252595,1
0.000785903,-0.002002312,-0.031479086,0.000576407,1
0.022855962,0.020927948,0.073909172,0.018269347,1
-0.014910296,-0.007096106,-0.028192371,-0.006668097,1
0.004553099,-0.005159292,-0.012798635,0.0063369,1
-0.015067374,-0.027545159,-0.014693172,-0.004575298,1
0.007628208,0.007798255,0.037280702,0.001311183,1
0.001892615,-0.001630823,-0.041437632,-0.009989266,1
-0.002258634,-0.018359707,-0.000882223,0.000699199,1
-0.015558117,-0.044053665,0.011037528,-0.01410623,1
0.00347019,0.005648283,-0.027510917,-0.003092841,1
-0.002333236,0.003029156,0.012572968,0.003993526,1
0.004259762,0.006893886,0.007982262,0.000358934,1
-0.035680126,-0.047944655,0.005719314,-0.023072808,1
-0.003579283,-0.005841319,-0.046369204,-0.015397355,1
0.033541072,0.04386453,0.018348624,0.022905306,1
0.008123613,0.011266511,0.036936937,0.000522141,1
0.014953271,0.026999258,0.039096438,0.011385023,1
-0.004910988,-0.012518377,-0.016304348,-0.012740961,1
0.006415793,0.017742618,0.011049724,0.00086943,1
0.000408647,0.022834687,0.028583438,0.003051965,1
0.029002083,0.028401205,0.051491622,0.017147088,1
0.009527212,0.016976629,-0.020598523,0.02043761,1
-0.016318666,-0.015916429,0.002777778,-0.015047483,1
-0.018068436,-0.00906953,-0.032845271,-0.015451968,1
-0.001506269,-0.006364459,-0.024140753,0.006141175,1
-0.015044645,-0.008008618,-0.020964361,-0.008293839,1
0.005712393,0.009689612,0.015845824,0.005819024,1
